iter	Passed	Remaining
0	136	135909
1	137	68572
2	138	45964
3	139	34611
4	139	27807
5	140	23231
6	140	19973
7	141	17528
8	141	15622
9	142	14093
10	142	12847
11	143	11804
12	143	10919
13	144	10159
14	144	9507
15	145	8934
16	145	8433
17	146	7991
18	146	7588
19	147	7225
20	147	6899
21	148	6604
22	149	6332
23	149	6083
24	150	5854
25	150	5640
26	151	5446
27	151	5263
28	152	5094
29	152	4937
30	153	4787
31	153	4648
32	154	4519
33	154	4394
34	155	4278
35	155	4167
36	156	4064
37	156	3965
38	157	3872
39	157	3781
40	158	3699
41	158	3619
42	159	3541
43	159	3466
44	160	3396
45	160	3329
46	161	3267
47	161	3206
48	162	3148
49	162	3092
50	163	3039
51	163	2986
52	164	2938
53	164	2889
54	165	2841
55	165	2797
56	166	2756
57	167	2715
58	167	2676
59	168	2638
60	169	2602
61	169	2565
62	170	2530
63	170	2498
64	171	2465
65	171	2433
66	172	2402
67	172	2368
68	173	2338
69	173	2309
70	174	2283
71	175	2256
72	175	2229
73	176	2203
74	176	2179
75	177	2154
76	177	2131
77	178	2108
78	178	2086
79	179	2062
80	179	2041
81	180	2020
82	181	2000
83	181	1980
84	182	1959
85	182	1939
86	182	1919
87	183	1900
88	183	1883
89	184	1865
90	185	1848
91	185	1831
92	186	1815
93	186	1799
94	187	1783
95	187	1768
96	188	1752
97	188	1737
98	189	1723
99	189	1708
100	190	1695
101	190	1679
102	191	1665
103	191	1652
104	192	1639
105	192	1626
106	193	1613
107	193	1601
108	194	1589
109	194	1577
110	195	1565
111	196	1554
112	196	1543
113	197	1532
114	197	1521
115	198	1509
116	198	1499
117	199	1488
118	199	1478
119	200	1468
120	200	1458
121	201	1448
122	201	1437
123	202	1428
124	202	1418
125	203	1409
126	203	1400
127	204	1389
128	204	1380
129	205	1372
130	205	1363
131	206	1355
132	206	1346
133	207	1338
134	207	1331
135	208	1323
136	208	1315
137	209	1306
138	209	1299
139	210	1292
140	210	1284
141	211	1276
142	211	1269
143	212	1262
144	212	1255
145	213	1249
146	214	1241
147	214	1235
148	215	1228
149	215	1221
150	216	1215
151	216	1208
152	217	1202
153	217	1195
154	218	1189
155	218	1183
156	219	1177
157	219	1171
158	220	1165
159	220	1159
160	221	1154
161	221	1148
162	222	1142
163	223	1137
164	223	1131
165	224	1126
166	224	1121
167	225	1115
168	225	1110
169	226	1105
170	227	1101
171	227	1096
172	228	1091
173	228	1086
174	229	1081
175	229	1076
176	230	1071
177	230	1066
178	231	1061
179	232	1057
180	232	1051
181	232	1047
182	233	1042
183	234	1038
184	234	1033
185	235	1029
186	235	1025
187	236	1020
188	236	1016
189	237	1011
190	237	1007
191	238	1003
192	238	999
193	239	995
194	239	990
195	240	986
196	241	982
197	241	978
198	242	974
199	242	970
200	243	967
201	243	963
202	244	959
203	244	955
204	245	951
205	245	947
206	246	944
207	246	940
208	247	936
209	247	932
210	248	929
211	249	925
212	249	922
213	250	918
214	250	914
215	251	911
216	251	907
217	252	904
218	252	901
219	253	897
220	253	894
221	254	890
222	254	887
223	255	884
224	255	881
225	256	878
226	257	875
227	257	872
228	258	869
229	258	866
230	259	863
231	259	860
232	260	857
233	261	854
234	261	851
235	261	848
236	262	845
237	263	842
238	263	839
239	264	836
240	264	833
241	265	830
242	265	827
243	266	824
244	266	821
245	267	819
246	267	816
247	268	813
248	268	810
249	269	807
250	269	805
251	270	802
252	270	799
253	271	797
254	272	794
255	272	792
256	273	789
257	273	787
258	274	784
259	274	781
260	275	779
261	275	776
262	276	774
263	276	771
264	277	769
265	277	766
266	278	764
267	279	762
268	279	759
269	280	757
270	280	754
271	281	752
272	281	750
273	282	747
274	282	745
275	283	742
276	283	740
277	284	738
278	284	736
279	285	733
280	285	731
281	286	729
282	287	727
283	287	725
284	288	722
285	288	720
286	289	718
287	289	716
288	290	714
289	290	711
290	291	709
291	291	707
292	292	705
293	292	703
294	293	701
295	294	699
296	294	697
297	295	695
298	295	693
299	296	691
300	296	688
301	297	686
302	297	684
303	298	682
304	298	680
305	299	678
