iter	Passed	Remaining
0	130	130697
1	134	66928
2	137	45545
3	139	34847
4	143	28620
5	146	24315
6	151	21440
7	154	19202
8	159	17552
9	162	16123
10	166	15002
11	169	13988
12	174	13214
13	178	12572
14	181	11928
15	185	11385
16	189	10933
17	191	10421
18	194	10056
19	199	9761
20	203	9484
21	207	9240
22	210	8959
23	214	8713
24	218	8508
25	221	8280
26	224	8073
27	226	7876
28	230	7719
29	233	7537
30	235	7375
31	238	7221
32	240	7048
33	243	6926
34	247	6819
35	250	6717
36	253	6590
37	255	6471
38	258	6363
39	261	6272
40	263	6167
41	266	6067
42	268	5967
43	270	5882
44	272	5792
45	275	5722
46	278	5652
47	281	5580
48	283	5503
49	285	5418
50	287	5348
51	289	5285
52	291	5209
53	293	5143
54	295	5085
55	298	5025
56	300	4966
57	302	4917
58	304	4864
59	307	4820
60	311	4789
61	313	4744
62	315	4693
63	317	4645
64	319	4602
65	322	4558
66	323	4510
67	326	4468
68	327	4425
69	329	4380
70	331	4335
71	334	4305
72	336	4274
73	338	4241
74	341	4207
75	342	4164
76	344	4126
77	345	4088
78	347	4053
79	349	4021
80	351	3992
81	353	3960
82	355	3927
83	357	3897
84	358	3862
85	360	3829
86	361	3796
87	363	3765
88	364	3735
89	366	3709
90	368	3677
91	369	3648
92	371	3622
93	372	3594
94	374	3566
95	375	3537
96	376	3508
97	378	3480
98	379	3453
99	380	3428
100	382	3403
101	383	3376
102	384	3351
103	386	3327
104	386	3297
105	388	3273
106	389	3250
107	390	3227
108	392	3206
109	393	3185
110	395	3165
111	397	3147
112	398	3128
113	400	3109
114	401	3088
115	402	3068
116	403	3048
117	405	3027
118	406	3007
119	407	2987
120	408	2968
121	409	2949
122	410	2929
123	412	2911
124	413	2895
125	414	2878
126	416	2861
127	417	2844
128	418	2827
129	420	2811
130	421	2795
131	422	2780
132	424	2766
133	425	2751
134	427	2737
135	428	2724
136	430	2710
137	431	2696
138	432	2681
139	434	2666
140	435	2652
141	436	2638
142	437	2623
143	438	2609
144	440	2595
145	441	2581
146	442	2567
147	443	2554
148	445	2544
149	446	2532
150	448	2521
151	449	2509
152	451	2498
153	452	2486
154	453	2474
155	455	2463
156	456	2452
157	458	2441
158	459	2431
159	461	2420
160	462	2410
161	463	2399
162	464	2387
163	466	2376
164	467	2365
165	468	2353
166	469	2343
167	470	2332
168	472	2321
169	473	2310
170	474	2301
171	476	2292
172	477	2282
173	478	2272
174	479	2262
175	481	2252
176	482	2241
177	483	2231
178	484	2222
179	485	2212
180	486	2202
181	487	2193
182	489	2183
183	490	2175
184	492	2167
185	493	2159
186	495	2153
187	496	2144
188	497	2135
189	498	2126
190	499	2117
191	501	2108
192	502	2100
193	503	2091
194	504	2083
195	505	2074
196	507	2066
197	508	2060
198	510	2053
199	511	2046
200	513	2039
201	514	2033
202	515	2025
203	517	2017
204	518	2010
205	519	2002
206	520	1994
207	522	1988
208	524	1983
209	525	1977
210	527	1970
211	528	1963
212	529	1956
213	531	1950
214	532	1943
215	533	1936
216	534	1929
217	535	1922
218	537	1916
219	538	1909
220	539	1903
221	541	1896
222	542	1890
223	543	1883
224	545	1877
225	546	1870
226	547	1864
227	548	1858
228	550	1852
229	551	1846
230	552	1840
231	554	1834
232	555	1828
233	556	1822
234	557	1816
235	559	1809
236	560	1804
237	561	1798
238	562	1792
239	563	1785
240	565	1780
241	566	1774
242	567	1768
243	568	1762
244	570	1758
245	571	1752
246	573	1748
247	574	1743
248	575	1737
249	577	1731
250	578	1725
251	579	1720
252	580	1714
253	581	1709
254	583	1703
255	584	1698
256	586	1695
257	587	1690
258	589	1685
259	590	1680
260	591	1675
261	593	1670
262	594	1665
263	595	1660
264	596	1654
265	597	1649
266	599	1644
267	600	1640
268	602	1636
269	603	1632
270	604	1626
271	606	1622
272	607	1618
273	608	1613
274	610	1608
275	611	1603
276	612	1599
277	614	1595
278	615	1591
279	617	1587
280	618	1583
281	620	1579
282	621	1575
283	623	1570
284	624	1566
285	625	1561
286	626	1557
287	628	1553
288	629	1549
289	631	1545
290	632	1542
291	634	1537
292	635	1533
293	637	1529
294	638	1525
295	639	1520
296	640	1516
297	641	1511
298	642	1507
299	644	1503
300	645	1500
301	647	1496
302	648	1492
303	649	1487
304	651	1483
305	652	1480
306	653	1476
307	655	1471
308	656	1467
309	657	1463
310	659	1460
311	660	1455
312	661	1451
313	662	1447
314	664	1443
315	665	1440
316	666	1437
317	668	1433
318	669	1429
319	670	1424
320	671	1420
321	673	1417
322	674	1413
323	675	1409
324	676	1405
325	678	1401
326	679	1398
327	680	1395
328	682	1391
329	683	1387
330	684	1384
331	686	1380
332	687	1376
333	688	1372
334	689	1368
335	690	1365
336	692	1361
337	693	1357
338	694	1354
339	696	1351
340	697	1348
341	699	1345
342	700	1342
343	702	1338
344	703	1335
345	704	1332
346	706	1329
347	707	1326
348	709	1323
349	710	1320
350	712	1317
351	713	1313
352	714	1310
353	716	1307
354	717	1303
355	718	1300
356	719	1296
357	720	1292
358	722	1289
359	723	1285
360	724	1282
361	725	1279
362	727	1276
363	728	1273
364	730	1270
365	731	1267
366	733	1264
367	734	1261
368	735	1258
369	736	1254
370	738	1251
371	739	1248
372	740	1245
373	742	1242
374	743	1239
375	745	1236
376	746	1233
377	747	1230
378	748	1227
379	750	1223
380	751	1220
381	752	1217
382	753	1214
383	755	1211
384	756	1208
385	758	1205
386	759	1202
387	760	1199
388	761	1196
389	763	1193
390	764	1191
391	766	1188
392	767	1185
393	769	1182
394	770	1180
395	772	1177
396	773	1175
397	775	1172
398	776	1169
399	777	1166
400	779	1163
401	780	1160
402	781	1157
403	782	1154
404	783	1151
405	785	1148
406	786	1145
407	787	1142
408	789	1140
409	791	1138
410	792	1135
411	794	1133
412	795	1130
413	796	1127
